meterID,missing_date
788,2016-02-06
788,2016-02-07
788,2016-02-08
788,2016-02-09
788,2016-02-10
788,2016-02-11
788,2016-02-12
788,2016-02-13
788,2016-02-14
788,2016-02-15
788,2016-02-16
788,2016-02-17
788,2016-02-18
788,2016-02-19
788,2016-02-20
788,2016-02-21
788,2016-02-22
788,2016-02-23
788,2016-02-24
788,2016-02-25
788,2016-02-26
788,2016-02-27
788,2016-02-28
788,2016-02-29
788,2016-03-01
788,2016-03-02
788,2016-03-03
788,2016-03-04
788,2016-03-05
788,2016-03-06
788,2016-03-07
788,2016-03-08
788,2016-03-09
788,2016-03-10
788,2016-03-11
788,2016-03-12
788,2016-03-13
788,2016-03-14
788,2016-03-15
788,2016-03-16
788,2016-03-17
788,2016-03-18
788,2016-03-19
788,2016-03-20
788,2016-03-21
788,2016-03-22
788,2016-03-23
788,2017-01-01
788,2017-01-02
788,2017-01-03
788,2017-01-04
788,2017-01-05
788,2017-01-06
788,2017-01-07
788,2017-01-08
788,2017-01-09
788,2017-01-10
788,2017-01-11
788,2017-01-12
788,2017-01-13
788,2017-01-14
788,2017-01-15
788,2017-01-16
788,2017-01-17
788,2017-01-18
788,2017-01-19
788,2017-01-20
788,2017-01-21
788,2017-01-22
788,2017-01-23
788,2017-01-24
788,2017-01-25
788,2017-01-26
788,2017-01-27
788,2017-01-28
788,2017-01-29
788,2017-01-30
